No,Transaction date,House age,Distance to the river,Distance to the nearest MRT station,Number of convenience stores,Number of neighbour,Latitude,Longitude,House price of unit area
1,2012.917,32,113,84.87882,10,29,24.98298,121.54024,37.9
2,2012.917,19.5,219,306.5947,9,15,24.98034,121.53951,42.2
3,2013.583,13.3,462,561.9845,5,27,24.98746,121.54391,47.3
4,2013.5,13.3,301,561.9845,5,18,24.98746,121.54391,54.8
5,2012.833,5,212,390.5684,5,13,24.97937,121.54245,43.1
6,2012.667,7.1,441,2175.03,3,9,24.96305,121.51254,32.1
7,2012.667,34.5,242,623.4731,7,28,24.97933,121.53642,40.3
8,2013.417,20.3,118,287.6025,6,10,24.98042,121.54228,46.7
9,2013.5,31.7,306,5512.038,1,23,24.95095,121.48458,18.8
10,2013.417,17.9,206,1783.18,3,29,24.96731,121.51486,22.1
11,2013.083,34.8,134,405.2134,1,22,24.97349,121.53372,41.4
12,2013.333,6.3,483,90.45606,9,19,24.97433,121.5431,58.1
13,2012.917,13,463,492.2313,5,28,24.96515,121.53737,39.3
14,2012.667,20.4,244,2469.645,4,4,24.96108,121.51046,23.8
15,2013.5,13.2,199,1164.838,4,22,24.99156,121.53406,34.3
16,2013.583,35.7,148,579.2083,2,2,24.9824,121.54619,50.5
17,2013.25,0,382,292.9978,6,8,24.97744,121.54458,70.1
18,2012.75,17.7,256,350.8515,1,10,24.97544,121.53119,37.4
19,2013.417,16.9,203,368.1363,8,29,24.9675,121.54451,42.3
20,2012.667,1.5,117,23.38284,7,2,24.96772,121.54102,47.7
21,2013.417,4.5,341,2275.877,3,4,24.96314,121.51151,29.3
22,2013.417,10.5,499,279.1726,7,2,24.97528,121.54541,51.6
23,2012.917,14.7,107,1360.139,1,28,24.95204,121.54842,24.6
24,2013.083,10.1,265,279.1726,7,17,24.97528,121.54541,47.9
25,2013,39.6,354,480.6977,4,2,24.97353,121.53885,38.8
26,2013.083,29.3,426,1487.868,2,21,24.97542,121.51726,27
27,2012.667,3.1,275,383.8624,5,3,24.98085,121.54391,56.2
28,2013.25,10.4,119,276.449,5,4,24.95593,121.53913,33.6
29,2013.5,19.2,320,557.478,4,2,24.97419,121.53797,47
30,2013.083,7.1,107,451.2438,5,5,24.97563,121.54694,57.1
31,2013.5,25.9,238,4519.69,0,28,24.94826,121.49587,22.1
32,2012.75,29.6,382,769.4034,7,16,24.98281,121.53408,25
33,2012.75,37.9,478,488.5727,1,29,24.97349,121.53451,34.2
34,2013.25,16.5,384,323.655,6,19,24.97841,121.54281,49.3
35,2012.75,15.4,327,205.367,7,24,24.98419,121.54243,55.1
36,2013.5,13.9,239,4079.418,0,28,25.01459,121.51816,27.3
37,2012.917,14.7,251,1935.009,2,24,24.96386,121.51458,22.9
38,2013.167,12,325,1360.139,1,27,24.95204,121.54842,25.3
39,2012.667,3.1,495,577.9615,6,29,24.97201,121.54722,47.7
40,2013.167,16.2,462,289.3248,5,2,24.98203,121.54348,46.2
41,2013,13.6,134,4082.015,0,1,24.94155,121.50381,15.9
42,2013.5,16.8,221,4066.587,0,3,24.94297,121.50342,18.2
43,2013.417,36.1,316,519.4617,5,15,24.96305,121.53758,34.7
44,2012.75,34.4,334,512.7871,6,12,24.98748,121.54301,34.1
45,2013.583,2.7,174,533.4762,4,13,24.97445,121.54765,53.9
46,2013.083,36.6,114,488.8193,8,22,24.97015,121.54494,38.3
47,2013.417,21.7,258,463.9623,9,18,24.9703,121.54458,42
48,2013.583,35.9,125,640.7391,3,10,24.97563,121.53715,61.5
49,2013.417,24.2,307,4605.749,0,10,24.94684,121.49578,13.4
50,2012.667,29.4,368,4510.359,1,17,24.94925,121.49542,13.2
51,2013.417,21.7,404,512.5487,4,28,24.974,121.53842,44.2
52,2013.083,31.3,357,1758.406,1,28,24.95402,121.55282,20.7
53,2013.583,32.1,351,1438.579,3,2,24.97419,121.5175,27
54,2013.083,13.3,210,492.2313,5,20,24.96515,121.53737,38.9
55,2013.083,16.1,213,289.3248,5,13,24.98203,121.54348,51.7
56,2012.833,31.7,497,1160.632,0,4,24.94968,121.53009,13.7
57,2013.417,33.6,226,371.2495,8,21,24.97254,121.54059,41.9
58,2012.917,3.5,150,56.47425,7,6,24.95744,121.53711,53.5
59,2013.5,30.3,266,4510.359,1,18,24.94925,121.49542,22.6
60,2013.083,13.3,163,336.0532,5,4,24.95776,121.53438,42.4
61,2013.417,11,163,1931.207,2,14,24.96365,121.51471,21.3
62,2013.5,5.3,475,259.6607,6,9,24.97585,121.54516,63.2
63,2012.917,17.2,164,2175.877,3,28,24.96303,121.51254,27.7
64,2013.583,2.6,483,533.4762,4,14,24.97445,121.54765,55
65,2013.333,17.5,344,995.7554,0,10,24.96305,121.54915,25.3
66,2013.417,40.1,430,123.7429,8,15,24.97635,121.54329,44.3
67,2013,1,304,193.5845,6,12,24.96571,121.54089,50.7
68,2013.5,8.5,271,104.8101,5,7,24.96674,121.54067,56.8
69,2013.417,30.4,107,464.223,6,17,24.97964,121.53805,36.2
70,2012.833,12.5,202,561.9845,5,27,24.98746,121.54391,42
71,2013.583,6.6,372,90.45606,9,23,24.97433,121.5431,59
72,2013.083,35.5,106,640.7391,3,20,24.97563,121.53715,40.8
73,2013.583,32.5,428,424.5442,8,13,24.97587,121.53913,36.3
74,2013.167,13.8,337,4082.015,0,16,24.94155,121.50381,20
75,2012.917,6.8,405,379.5575,10,25,24.98343,121.53762,54.4
76,2013.5,12.3,104,1360.139,1,17,24.95204,121.54842,29.5
77,2013.583,35.9,485,616.4004,3,21,24.97723,121.53767,36.8
78,2012.833,20.5,315,2185.128,3,26,24.96322,121.51237,25.6
79,2012.917,38.2,400,552.4371,2,10,24.97598,121.53381,29.8
80,2013,18,447,1414.837,1,5,24.95182,121.54887,26.5
81,2013.5,11.8,499,533.4762,4,29,24.97445,121.54765,40.3
82,2013,30.8,300,377.7956,6,4,24.96427,121.53964,36.8
83,2013.083,13.2,310,150.9347,7,12,24.96725,121.54252,48.1
84,2012.917,25.3,294,2707.392,3,9,24.96056,121.50831,17.7
85,2013.083,15.1,185,383.2805,7,11,24.96735,121.54464,43.7
86,2012.75,0,112,338.9679,9,14,24.96853,121.54413,50.8
87,2012.833,1.8,377,1455.798,1,27,24.9512,121.549,27
88,2013.583,16.9,223,4066.587,0,2,24.94297,121.50342,18.3
89,2012.917,8.9,150,1406.43,0,23,24.98573,121.52758,48
90,2013.5,23,282,3947.945,0,13,24.94783,121.50243,25.3
91,2012.833,0,469,274.0144,1,13,24.9748,121.53059,45.4
92,2013.25,9.1,397,1402.016,0,24,24.98569,121.5276,43.2
93,2012.917,20.6,441,2469.645,4,9,24.96108,121.51046,21.8
94,2012.917,31.9,129,1146.329,0,20,24.9492,121.53076,16.1
95,2012.917,40.9,435,167.5989,5,6,24.9663,121.54026,41
96,2012.917,8,281,104.8101,5,16,24.96674,121.54067,51.8
97,2013.417,6.4,445,90.45606,9,5,24.97433,121.5431,59.5
98,2013.083,28.4,441,617.4424,3,19,24.97746,121.53299,34.6
99,2013.417,16.4,333,289.3248,5,11,24.98203,121.54348,51
100,2013.417,6.4,462,90.45606,9,21,24.97433,121.5431,62.2
101,2013.5,17.5,431,964.7496,4,29,24.98872,121.53411,38.2
102,2012.833,12.7,103,170.1289,1,20,24.97371,121.52984,32.9
103,2013.083,1.1,224,193.5845,6,29,24.96571,121.54089,54.4
104,2012.75,0,359,208.3905,6,21,24.95618,121.53844,45.7
105,2012.667,32.7,258,392.4459,6,19,24.96398,121.5425,30.5
106,2012.833,0,403,292.9978,6,5,24.97744,121.54458,71
107,2013.083,17.2,216,189.5181,8,23,24.97707,121.54308,47.1
108,2013.333,12.2,165,1360.139,1,10,24.95204,121.54842,26.6
109,2013.417,31.4,260,592.5006,2,19,24.9726,121.53561,34.1
110,2013.583,4,467,2147.376,3,7,24.96299,121.51284,28.4
111,2013.083,8.1,414,104.8101,5,26,24.96674,121.54067,51.6
112,2013.583,33.3,101,196.6172,7,9,24.97701,121.54224,39.4
113,2013.417,9.9,437,2102.427,3,25,24.96044,121.51462,23.1
114,2013.333,14.8,378,393.2606,6,17,24.96172,121.53812,7.6
115,2012.667,30.6,221,143.8383,8,5,24.98155,121.54142,53.3
116,2013.083,20.6,333,737.9161,2,8,24.98092,121.54739,46.4
117,2013,30.9,409,6396.283,1,28,24.94375,121.47883,12.2
118,2013,13.6,219,4197.349,0,6,24.93885,121.50383,13
119,2013.5,25.3,264,1583.722,3,18,24.96622,121.51709,30.6
120,2013.5,16.6,298,289.3248,5,6,24.98203,121.54348,59.6
121,2013.167,13.3,415,492.2313,5,5,24.96515,121.53737,31.3
122,2013.5,13.6,246,492.2313,5,30,24.96515,121.53737,48
123,2013.25,31.5,323,414.9476,4,15,24.98199,121.54464,32.5
124,2013.417,0,182,185.4296,0,16,24.9711,121.5317,45.5
125,2012.917,9.9,204,279.1726,7,25,24.97528,121.54541,57.4
126,2013.167,1.1,424,193.5845,6,6,24.96571,121.54089,48.6
127,2013.083,38.6,330,804.6897,4,9,24.97838,121.53477,62.9
128,2013.25,3.8,251,383.8624,5,20,24.98085,121.54391,55
129,2013.083,41.3,311,124.9912,6,30,24.96674,121.54039,60.7
130,2013.417,38.5,386,216.8329,7,29,24.98086,121.54162,41
131,2013.25,29.6,283,535.527,8,27,24.98092,121.53653,37.5
132,2013.5,4,147,2147.376,3,8,24.96299,121.51284,30.7
133,2013.167,26.6,217,482.7581,5,22,24.97433,121.53863,37.5
134,2012.833,18,389,373.3937,8,3,24.9866,121.54082,39.5
135,2012.667,33.4,401,186.9686,6,1,24.96604,121.54211,42.2
136,2012.917,18.9,451,1009.235,0,28,24.96357,121.54951,20.8
137,2012.75,11.4,496,390.5684,5,22,24.97937,121.54245,46.8
138,2013.5,13.6,254,319.0708,6,15,24.96495,121.54277,47.4
139,2013.167,10,256,942.4664,0,25,24.97843,121.52406,43.5
140,2012.667,12.9,234,492.2313,5,1,24.96515,121.53737,42.5
141,2013.25,16.2,171,289.3248,5,2,24.98203,121.54348,51.4
142,2013.333,5.1,255,1559.827,3,2,24.97213,121.51627,28.9
143,2013.417,19.8,487,640.6071,5,27,24.97017,121.54647,37.5
144,2013.5,13.6,109,492.2313,5,21,24.96515,121.53737,40.1
145,2013.083,11.9,194,1360.139,1,3,24.95204,121.54842,28.4
146,2012.917,2.1,478,451.2438,5,8,24.97563,121.54694,45.5
147,2012.75,0,169,185.4296,0,19,24.9711,121.5317,52.2
148,2012.75,3.2,264,489.8821,8,18,24.97017,121.54494,43.2
149,2013.5,16.4,293,3780.59,0,8,24.93293,121.51203,45.1
150,2012.667,34.9,158,179.4538,8,8,24.97349,121.54245,39.7
151,2013.25,35.8,365,170.7311,7,17,24.96719,121.54269,48.5
152,2013.5,4.9,231,387.7721,9,16,24.98118,121.53788,44.7
153,2013.333,12,364,1360.139,1,13,24.95204,121.54842,28.9
154,2013.25,6.5,466,376.1709,6,21,24.95418,121.53713,40.9
155,2013.5,16.9,296,4066.587,0,5,24.94297,121.50342,20.7
156,2013.167,13.8,373,4082.015,0,28,24.94155,121.50381,15.6
157,2013.583,30.7,464,1264.73,0,3,24.94883,121.52954,18.3
158,2013.25,16.1,386,815.9314,4,18,24.97886,121.53464,35.6
159,2013,11.6,114,390.5684,5,1,24.97937,121.54245,39.4
160,2012.667,15.5,352,815.9314,4,19,24.97886,121.53464,37.4
161,2012.917,3.5,228,49.66105,8,19,24.95836,121.53756,57.8
162,2013.417,19.2,211,616.4004,3,16,24.97723,121.53767,39.6
163,2012.75,16,327,4066.587,0,7,24.94297,121.50342,11.6
164,2013.5,8.5,255,104.8101,5,28,24.96674,121.54067,55.5
165,2012.833,0,266,185.4296,0,6,24.9711,121.5317,55.2
166,2012.917,13.7,338,1236.564,1,26,24.97694,121.55391,30.6
167,2013.417,0,116,292.9978,6,22,24.97744,121.54458,73.6
168,2013.417,28.2,220,330.0854,8,24,24.97408,121.54011,43.4
169,2013.083,27.6,427,515.1122,5,14,24.96299,121.5432,37.4
170,2013.417,8.4,361,1962.628,1,25,24.95468,121.55481,23.5
171,2013.333,24,271,4527.687,0,9,24.94741,121.49628,14.4
172,2013.083,3.6,187,383.8624,5,30,24.98085,121.54391,58.8
173,2013.583,6.6,437,90.45606,9,13,24.97433,121.5431,58.1
174,2013.083,41.3,213,401.8807,4,29,24.98326,121.5446,35.1
175,2013.417,4.3,181,432.0385,7,17,24.9805,121.53778,45.2
176,2013.083,30.2,176,472.1745,3,10,24.97005,121.53758,36.5
177,2012.833,13.9,307,4573.779,0,12,24.94867,121.49507,19.2
178,2013.083,33,436,181.0766,9,23,24.97697,121.54262,42
179,2013.5,13.1,122,1144.436,4,26,24.99176,121.53456,36.7
180,2013.083,14,385,438.8513,1,20,24.97493,121.5273,42.6
181,2012.667,26.9,141,4449.27,0,7,24.94898,121.49621,15.5
182,2013.167,11.6,216,201.8939,8,26,24.98489,121.54121,55.9
183,2013.5,13.5,168,2147.376,3,26,24.96299,121.51284,23.6
184,2013.5,17,316,4082.015,0,12,24.94155,121.50381,18.8
185,2012.75,14.1,403,2615.465,0,9,24.95495,121.56174,21.8
186,2012.75,31.4,488,1447.286,3,21,24.97285,121.5173,21.5
187,2013.167,20.9,283,2185.128,3,4,24.96322,121.51237,25.7
188,2013,8.9,136,3078.176,0,16,24.95464,121.56627,22
189,2012.917,34.8,359,190.0392,8,30,24.97707,121.54312,44.3
190,2012.917,16.3,190,4066.587,0,7,24.94297,121.50342,20.5
191,2013.5,35.3,332,616.5735,8,7,24.97945,121.53642,42.3
192,2013.167,13.2,461,750.0704,2,6,24.97371,121.54951,37.8
193,2013.167,43.8,185,57.58945,7,19,24.9675,121.54069,42.7
194,2013.417,9.7,230,421.479,5,20,24.98246,121.54477,49.3
195,2013.5,15.2,102,3771.895,0,16,24.93363,121.51158,29.3
196,2013.333,15.2,205,461.1016,5,5,24.95425,121.5399,34.6
197,2013,22.8,127,707.9067,2,12,24.981,121.54713,36.6
198,2013.25,34.4,396,126.7286,8,12,24.96881,121.54089,48.2
199,2013.083,34,319,157.6052,7,14,24.96628,121.54196,39.1
200,2013.417,18.2,300,451.6419,8,8,24.96945,121.5449,31.6
201,2013.417,17.4,355,995.7554,0,24,24.96305,121.54915,25.5
202,2013.417,13.1,327,561.9845,5,25,24.98746,121.54391,45.9
203,2012.917,38.3,155,642.6985,3,23,24.97559,121.53713,31.5
204,2012.667,15.6,299,289.3248,5,30,24.98203,121.54348,46.1
205,2013,18,383,1414.837,1,1,24.95182,121.54887,26.6
